"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"experiment_charity_0_to_10"
"05/22/2023 11:26:45:408 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202"
"lower-tax","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"upper-tax","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"charity","0","0","0.1","0.1","0.2","0.2","0.3","0.3","0.4","0.4","0.5","0.5","0.6","0.6","0.7","0.7","0.8","0.8","0.9","0.9","1","1","1.1","1.1","1.2","1.2","1.3","1.3","1.4","1.4","1.5","1.5","1.6","1.6","1.7","1.7","1.8","1.8","1.9","1.9","2","2","2.1","2.1","2.2","2.2","2.3","2.3","2.4","2.4","2.5","2.5","2.6","2.6","2.7","2.7","2.8","2.8","2.9","2.9","3","3","3.1","3.1","3.2","3.2","3.3","3.3","3.4","3.4","3.5","3.5","3.6","3.6","3.7","3.7","3.8","3.8","3.9","3.9","4","4","4.1","4.1","4.2","4.2","4.3","4.3","4.4","4.4","4.5","4.5","4.6","4.6","4.7","4.7","4.8","4.8","4.9","4.9","5","5","5.1","5.1","5.2","5.2","5.3","5.3","5.4","5.4","5.5","5.5","5.6","5.6","5.7","5.7","5.8","5.8","5.9","5.9","6","6","6.1","6.1","6.2","6.2","6.3","6.3","6.4","6.4","6.5","6.5","6.6","6.6","6.7","6.7","6.8","6.8","6.9","6.9","7","7","7.1","7.1","7.2","7.2","7.3","7.3","7.4","7.4","7.5","7.5","7.6","7.6","7.7","7.7","7.8","7.8","7.9","7.9","8","8","8.1","8.1","8.2","8.2","8.3","8.3","8.4","8.4","8.5","8.5","8.6","8.6","8.7","8.7","8.8","8.8","8.9","8.9","9","9","9.1","9.1","9.2","9.2","9.3","9.3","9.4","9.4","9.5","9.5","9.6","9.6","9.7","9.7","9.8","9.8","9.9","9.9","10","10"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"percent-best-land","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"[reporter]","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty","count-below-poverty"
"[final]","5","1","6","2","2","4","2","6","4","1","4","2","2","2","2","0","1","0","3","0","1","0","1","0","0","0","1","0","0","0","0","1","2","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0","1","1","1","1","2","0","2","2","0","1","2","1","1","0","8","2","11","9","0","1","3","2","2","1","3","5","2","0","5","4","1","5","3","2","1","14","5","3","8","5","4","4","0","1","1","8","5","1","2","2","11","8","9","0","1","1","7","2","6","2","16","17","7","1","2","9","9","9","9","13","1","13","7","2","8","17","21","14","10","2","6","12","7","5","5","15","16","19","14","11","8","9","6","16","27","8","19","7","9","20","7","11","9","28","25","2","19","25","14","15","11","18","31","27"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","11","7","15","15","5","10","7","14","12","10","7","12","5","9","12","5","6","7","10","9","6","8","7","5","4","6","9","4","6","5","7","3","9","3","7","11","5","14","2","7","4","5","2","9","1","6","3","7","5","4","2","2","5","3","2","3","5","3","3","4","2","5","3","3","6","2","4","2","5","1","1","2","2","4","5","2","3","2","3","2","2","0","2","1","1","2","3","2","3","10","2","4","5","2","6","3","1","3","7","7","3","6","14","5","11","20","3","4","6","3","6","3","5","5","20","4","5","6","20","7","9","7","3","14","12","6","10","10","10","10","3","5","8","9","8","7","6","11","31","8","22","10","9","6","11","5","8","11","21","22","21","8","9","16","15","11","23","19","15","23","15","10","22","25","29","25","20","7","13","20","12","11","21","27","23","29","27","18","19","25","19","29","33","16","22","14","14","25","21","12","12","35","34","26","34","31","19","21","24","33","47","29"
"[mean]","4.314537092581483","3.3545290941811636","8.524095180963807","6.781043791241752","1.9972005598880225","4.1707658468306334","3.6276744651069786","8.359728054389123","6.8542291541691664","3.694261147770446","3.0517896420715855","6.190361927614477","1.9342131573685264","4.541691661667667","5.792241551689662","1.8778244351129774","2.776644671065787","2.291141771645671","4.358528294341132","3.334133173365327","1.4563087382523496","2.4273145370925815","2.7256548690261946","1.3071385722855429","0.5066986602679464","1.9884023195360927","2.3449310137972406","1.1015796840631873","2.2051589682063586","1.726854629074185","2.347730453909218","1.4403119376124776","3.929614077184563","0.8950209958008398","1.2049590081983603","4.211757648470306","1.4897020595880823","5.125974805038992","0.3987202559488102","1.5340931813637273","1.010997800439912","1.2345530893821235","0.6462707458508299","3.4707058588282345","0.2631473705258948","0.6736652669466107","0.3339332133573285","1.0827834433113377","0.7160567886422715","0.594881023795241","0.1895620875824835","0.41611677664467106","0.9842031593681264","0.617876424715057","0.28794241151769645","0.381123775244951","0.7854429114177165","0.4367126574685063","0.5280943811237753","0.7474505098980204","0.14677064587082583","0.9948010397920416","0.28594281143771244","0.3603279344131174","1.4141171765646872","0.2735452909418116","0.5120975804839032","0.12337532493501299","1.0705858828234354","0.11357728454309138","0.125374925014997","0.12037592481503699","0.40311937612477505","0.9144171165766847","0.8820235952809438","0.2835432913417317","0.8046390721855629","0.2601479704059188","0.9042191561687662","0.260747850429914","0.15736852629474105","0","0.35392921415716855","0.1853629274145171","0.14677064587082583","0.8702259548090382","0.5548890221955609","0.27974405118976203","0.5874825034993001","1.82123575284943","0.4829034193161368","1.302739452109578","0.9828034393121375","0.7720455908818237","1.1439712057588483","0.5936812637472505","0.010997800439912017","0.5646870625874825","1.8684263147370526","1.1687662467506499","0.5616876624675065","0.745250949810038","3.689862027594481","1.4043191361727654","3.0635872825434913","7.8566286742651466","0.4409118176364727","0.6796640671865627","1.6880623875224956","0.4081183763247351","1.3355328934213158","0.596880623875225","0.8928214357128574","0.9604079184163168","6.358328334333133","0.6010797840431914","1.1289742051589682","0.7914417116576684","6.206358728254349","0.768246350729854","2.0941811637672467","1.0511897620475905","0.3603279344131174","2.4363127374525093","3.2131573685262946","1.0523895220955808","2.730253949210158","3.4959008198360326","3.541491701659668","3.2329534093181365","0.18136372725454908","1.1339732053589282","1.2077584483103379","2.0895820835832835","2.210357928414317","2.1161767646470704","1.8572285542891422","2.3825234953009398","13.633273345330934","2.3355328934213158","6.081983603279344","2.6526694661067785","1.8898220355928814","1.5242951409718057","3.9776044791041794","1.2463507298540293","1.52249550089982","2.066986602679464","7.166566686662668","6.39752049590082","6.113377324535093","2.0599880023995203","1.5870825834833033","7.114777044591082","5.421915616876625","2.0495900819836033","4.8374325134973","8.466506698660268","3.9484103179364127","9.024595080983802","6.735252949410118","2.7700459908018398","5.7618476304739055","8.592281543691263","12.332133573285343","10.199160167966406","6.314937012597481","2.249350129974005","4.012397520495901","7.305538892221556","4.205158968206359","2.7240551889622076","5.176364727054589","10.229754049190163","8.222355528894221","9.697660467906418","7.679264147170566","8.266746650669866","6.321935612877424","9.239752049590082","7.539892021595681","9.824635072985403","6.6838632273545295","4.567886422715457","8.391121775644871","3.281143771245751","4.8550289942011595","9.30873825234953","5.271545690861828","3.24375124975005","2.9852029594081184","12.079784043191362","15.273345330933813","8.740251949610078","12.595880823835232","14.848230353929214","7.574285142971406","8.212757448510297","8.273145370925814","10.730253949210159","13.970605878824236","11.308938212357528"
"[steps]","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000"

