"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"experiment_rich_country_taxes_charity_0"
"05/19/2023 19:09:30:516 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160"
"lower-tax","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"upper-tax","0","0","0","0","0","5","5","5","5","5","10","10","10","10","10","15","15","15","15","15","20","20","20","20","20","25","25","25","25","25","30","30","30","30","30","35","35","35","35","35","0","0","0","0","0","5","5","5","5","5","10","10","10","10","10","15","15","15","15","15","20","20","20","20","20","25","25","25","25","25","30","30","30","30","30","35","35","35","35","35","0","0","0","0","0","5","5","5","5","5","10","10","10","10","10","15","15","15","15","15","20","20","20","20","20","25","25","25","25","25","30","30","30","30","30","35","35","35","35","35","0","0","0","0","0","5","5","5","5","5","10","10","10","10","10","15","15","15","15","15","20","20","20","20","20","25","25","25","25","25","30","30","30","30","30","35","35","35","35","35"
"charity","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"percent-best-land","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"
"[reporter]","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure"
"[final]","-5.23","-0.37","-4.7","-5.18","-9.26","187.09","187.39","259.07","158.84","161.21","547.25","490.14","524.16","461.07","509.54","736.82","845.31","813.74","767.94","812.33","1063.34","1100.2","1118.29","1038.68","1066.12","1351.5","1315","1335.83","1193.53","1296.03","1364.53","1400.64","1431.04","1396.05","1476.4","1497.97","1174.19","1571.99","1474.21","1323.05","405.39","344.58","321.96","437.08","417.95","530.03","521.33","439.49","507.35","508.44","652.58","706.78","686.94","657.01","701.94","880.62","841.61","987.77","762.04","846.87","1063.99","1018.81","1187.53","880.96","1104.82","1117.76","1205.46","1206.16","1281.45","1230.14","1138.66","1182.73","1338.36","1392.2","1328.23","730.22","147.48","338.87","912.36","818.23","44.34","289.94","-349.46","155.51","273.44","-37.1","45.86","-683.32","148.47","189.66","417.99","371.84","-852.57","-26.81","-819.08","550.08","519.7","-543.58","572.81","-170.55","-117.86","80.44","-442.64","229.48","202","208.16","-542.02","28.42","-483.04","-31.33","-1603.88","-2259.27","-706.86","-1441.4","-2100.91","-2998.56","-2999.72","-2998.69","-2999.23","-2998.69","-2999.57","-2998.78","-2999.72","-2998.81","-2999.13","-2999.82","-2999.45","-2999.56","-2999.35","-2999.47","-2998.98","-2998.91","-2999.14","-2999.51","-2999.02","-2999.24","-2999.31","-2998.99","-2999.15","-2999.98","-2998.47","-2999.01","-2999.84","-2999.24","-2998.78","-2999.64","-2999.88","-2999.1","-2999.88","-2999.73","-2999.13","-2998.62","-2999.68","-2999.2","-2998.29","-2998.46","-2997.98","-2999.14","-2999.67","-2997.58"
"[min]","-5.23","-0.37","-4.7","-5.18","-9.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-349.46","0","0","-37.1","0","-683.32","0","0","0","0","-852.57","-26.81","-819.08","0","0","-543.58","0","-170.55","-117.88","0","-442.64","0","0","0","-542.02","0","-483.04","-31.33","-1603.88","-2259.27","-706.86","-1441.4","-2100.91","-2998.56","-2999.72","-2998.69","-2999.23","-2998.69","-2999.57","-2998.78","-2999.72","-2998.81","-2999.13","-2999.82","-2999.45","-2999.56","-2999.35","-2999.47","-2998.98","-2998.91","-2999.14","-2999.51","-2999.02","-2999.24","-2999.31","-2998.99","-2999.15","-2999.98","-2998.47","-2999.01","-2999.84","-2999.24","-2998.78","-2999.64","-2999.88","-2999.1","-2999.88","-2999.73","-2999.13","-2998.62","-2999.68","-2999.2","-2998.29","-2998.46","-2997.98","-2999.14","-2999.67","-2997.58"
"[max]","0","0","0","0","0","187.09","187.39","259.07","158.84","161.21","547.25","490.14","524.16","461.07","509.54","736.82","845.31","813.74","767.94","812.33","1063.34","1100.2","1118.29","1038.68","1066.12","1351.5","1315","1335.83","1193.53","1296.03","1364.53","1400.64","1431.04","1396.05","1476.4","1497.97","1174.19","1571.99","1475.43","1323.05","405.39","344.58","321.96","437.08","417.95","530.03","521.33","439.49","507.35","508.44","652.58","706.78","686.94","657.01","701.94","880.62","841.61","987.77","762.04","846.87","1063.99","1018.81","1187.53","880.96","1104.82","1117.76","1205.46","1206.16","1281.45","1230.14","1138.66","1182.73","1338.36","1392.2","1328.23","984.56","734.6","669.63","914.95","1058.92","218.62","289.94","186.89","370.7","330.92","249.75","314.01","134.09","240.21","329.52","417.99","414.95","162.05","256.3","238.46","550.08","549.73","237.73","582.8","250.42","298.91","387.95","290.49","432.27","543.82","570.63","444.88","465.22","293.59","426.2","395.65","402.53","346.76","417.81","468.55","364.8","586.26","467.64","500.2","615.46","177.4","179.92","337.25","245.27","229.72","223.44","265.1","214.36","206.36","239.29","172.49","293.39","243.45","229.94","243.98","317.72","317","288.43","251.57","344.3","278.55","302.64","269.34","207.21","326.2","373.58","301.36","256.15","246.74","320.57","352.22","320.86","329.45","318.29","269.15","314.62","342.94","364.2","327.21","379.73"
"[mean]","-3.813585641436082","-0.23897010298966376","-2.6139986001399884","-3.4507109289072306","-6.194171582842121","81.04186081391857","97.3637326267372","122.3324277572242","86.47114488551131","70.64237676232385","260.0590730926908","209.0735136486355","249.55696830316992","221.78805819418045","242.98106489351068","336.4116698330176","412.4415848415162","374.0971642835736","368.962118788122","401.35251374862617","527.9869813018692","546.8247065293465","526.6215398460156","496.7806209379066","516.7013208679141","689.0590140985898","656.4169483051696","676.2841655834397","555.8308599140083","634.3973182681732","762.9492530746948","666.0884831516872","791.9062053794636","737.3111308869102","732.6573352664707","844.4875902409752","729.3360353964597","859.2843035696429","794.1256294370572","812.9808439156093","215.69667933206676","180.5742665733428","161.88484251574812","216.85197680231988","210.271604839516","272.0927267273274","270.53450254974564","222.76284871512857","260.43191580841994","260.01047695230545","324.65580641935725","361.08349565043596","353.6442445755411","346.4297700229982","360.55249075092553","466.14434456554466","395.36382361763674","505.6782181781824","397.63974302569744","442.6969413058692","518.5517008299181","486.85442755724364","594.1534866513342","431.0000239975997","565.5817248275164","617.9679622037777","625.968075192479","659.2411548845092","646.58807819218","626.857605239477","691.191667833213","632.5227427257278","699.1736196380367","751.7171112888701","704.5529357064291","698.9040505949412","413.69243375662415","471.2410438956111","657.1699760024009","674.0509569043077","155.917291270873","220.78652434756538","48.71432256774254","253.50997100289894","254.74271572842883","141.80593740625903","211.1870892910703","-188.96106789321047","179.06890610938962","239.53548845115478","288.70614338566156","314.1063203679633","-238.09132386761289","157.87892810718967","-65.00559744025603","386.61784721527727","405.0375792420758","11.3159634036595","391.3832766723326","73.73311968803101","128.81527447255323","266.11241475852506","52.54943605639451","341.69238676132363","378.11219178082104","407.6302689731038","150.13932106789255","322.39010298970163","60.20764823517668","298.60012198780146","-53.30814418558179","-249.13129687031423","129.45577442255717","-214.3997320267967","-205.30924807519253","-433.2287601997322","-212.64339027252603","-220.8379454630929","-334.2777536038442","-128.08446260069027","-708.328487138264","-603.3790494694368","-462.83436084881725","-478.22891017964093","-536.2978548895891","-564.7962223145076","-518.1317584605181","-579.6159933003205","-611.1759332525897","-632.7953280621449","-669.0217539392014","-452.41578156028373","-557.4988180718041","-606.33373281787","-550.4678403938339","-426.7388736857272","-419.88643206854283","-471.0511505098161","-623.6977289955786","-410.41376707131974","-418.43730089777017","-528.81731193751","-468.1761940642774","-583.8103765399959","-470.5542736205588","-388.93134505630076","-454.0162583971247","-477.60034933746323","-562.7936325163105","-408.42658002520443","-405.817178557802","-321.67932160348306","-399.2849984056125","-468.15728792007326","-469.5262521008408","-425.92073822562946","-288.24274832535855","-387.1213113072027","-283.35260429835665","-271.4302406532014"
