"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"Experiment_taxes_charity_4"
"05/18/2023 16:02:06:471 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238"
"lower-tax","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"upper-tax","0","0","0","0","0","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10","11","11","11","11","11","12","12","12","12","12","13","13","13","13","13","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","17","17","17","17","17","18","18","18","18","18","19","19","19","19","19","20","20","20","20","20","21","21","21","21","21","22","22","22","22","22","23","23","23","23","23","24","24","24","24","24","25","25","25","25","25","26","26","26","26","26","27","27","27","27","27","28","28","28","28","28","29","29","29","29","29","30","30","30","30","30","31","31","31","31","31","32","32","32","32","32","33","33","33","33","33","34","34","34","34","34","35","35","35","35","35","36","36","36","36","36","37","37","37","37","37","38","38","38","38","38","39","39","39","39","39","40","40","40","40","40","41","41","41","41","41","42","42","42","42","42","43","43","43","43","43","44","44","44","44","44","45","45","45","45","45","46","46","46","46","46","47","47","47"
"charity","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"percent-best-land","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16"
"[reporter]","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure","relative-state-treasure"
"[final]","-0.216","-5.532","-1.028","0","-1.544","29.512127680571396","41.338362640233655","46.642213689084954","50.41806823604927","37.37016013882436","106.00670339459505","92.04962304299045","86.81851298952738","113.25553805660685","75.36510878893046","123.82367073946729","148.9176818968615","135.15700657394416","156.18377899095668","139.2818413866922","186.75266991087614","223.51358495863957","202.8644982762193","157.51122390803548","189.90745230588902","257.3313590999252","118.215650340146","171.578182380184","186.95779797005997","226.71524357899148","272.43913057977653","194.0724536042707","166.5170124333148","257.9233391376981","251.51875233268595","290.7628191117892","261.77452917874774","262.89919853536594","244.30311816652758","130.11288841298767","308.5552336740574","279.7495753640488","307.2668373492157","336.96228384883733","273.89318896412715","310.54724917496713","302.89534153980605","360.9021114712979","352.95974454339614","301.82356028154186","347.05978782400996","363.46913235976615","226.87538950677256","424.46849172277143","376.181345975074","259.30679365332327","396.9087110603769","400.2186950605433","333.0240086306134","219.96518769631692","334.0649208168672","362.89020745300377","391.01133342978585","359.4662564502706","312.81849660324696","405.83775370615405","413.4498827106368","379.2318721341222","370.19647860057586","444.0614942632668","395.44976966948934","404.5823093178998","391.19349352783007","418.6613038930526","422.5909890238426","352.9025359435356","415.01594744381066","308.4992280612766","353.0084895804303","346.93890872399953","482.07619226154145","303.0308573765465","414.14770676305164","350.19862885838876","338.7535849982884","453.46776077581336","214.59713841151526","338.76888894980533","459.8019937872624","420.4683986899927","472.71719792567563","367.75144336866344","433.91352605863716","369.38897702689263","367.9796391840889","187.00861621065465","421.8934750218061","420.3445824610988","215.75437674709383","485.29506955421874","497.71621510314077","398.7519484326255","393.2609681693755","330.3835280190922","531.8324110881571","463.87836922373015","445.5124269656134","354.8648570368515","391.78847050184754","328.368190541725","274.626099697337","120.74192627118664","257.9114498299053","455.40231868775464","328.1589083742022","371.052172154349","360.98257588879085","232.0834696633035","348.69232439510927","368.9831868652034","400.5884431954501","404.31941575097545","418.2600091542227","435.10472110542185","331.48507575111313","423.44590530165397","425.46141910590643","384.5442443985882","443.8196112384713","267.0146392825243","402.39544825558113","456.7242657317131","439.9120027072064","358.1284094442293","389.3695546085017","329.29879471058865","503.6736554106561","496.1458447521769","342.0882038805317","459.6489705381472","322.9924137190019","326.60476832666853","404.862730374126","357.3108887389439","155.53318104655102","294.90167976761785","261.2057478314584","462.7461267877886","150.37257961542485","407.9061596880813","354.49255217094674","324.9911274162153","236.32672709869868","412.1910158921412","301.08283376620193","366.9812000020533","297.2823942912848","421.0055096263846","372.4434275922122","223.59016331652194","391.18382997762967","156.4262025884284","278.2517309292363","76.49782044176018","284.95433097512586","111.95780520939758","73.51522699749574","467.3196677052286","425.2426725534946","299.9833796212141","356.7065816967012","361.36083092317386","286.9076426647552","84.22096398627863","170.27977085861943","144.75374629114756","117.2373126356719","234.44570991527215","239.83408573313284","174.56216735896686","173.7042187156793","218.80679098382984","382.4042350408309","190.81380869976178","229.9073638459203","294.074806245643","271.5543095104531","271.03214230912903","16.298203600698827","33.6948650739779","305.0775162455624","285.5320455191482","70.58064328527011","64.14622110579164","224.44959002439708","256.4645171847832","116.59983361376862","206.4845567703033","222.0872114080109","134.3633847801728","183.68773898968593","14.126364451698633","161.92812783742804","138.06586679589438","-85.29982953285787","280.97126242792757","-90.77428752755759","167.70325548289236","70.76922794801791","266.2275188475568","-246.1451024898134","-110.27677019444575","59.48079217110642","153.0094239026462","60.0446428235452","-59.036253162580195","-67.9264749123434","-144.23281073148806","79.41387432292379","-332.505980508863","-217.86502482558762","-131.40169472879222","-180.46393319687363","-220.36178133824063","-180.36312890490103","-128.05779809020217","-174.13679575875676","-88.56452816128875","-89.73223855181107","-160.64447229586554","43.26917650813431","-273.98737481995556","-89.619081742829","-93.00573857573377","-597.2878970850877","-119.32730476848802","-258.6166841552004","-61.16791242163207"
"[min]","-0.216","-5.532","-1.028","0","-1.544","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-85.29982953285787","0","-90.77428752755759","0","0","0","-246.1451024898134","-110.27677019444575","0","0","0","-59.036253162580195","-67.9264749123434","-144.23281073148806","0","-332.505980508863","-217.86502482558762","-131.40169472879222","-180.46393319687363","-220.36178133824063","-180.36312890490103","-128.05779809020217","-174.13679575875676","-88.56452816128875","-89.73223855181107","-160.64447229586554","0","-273.98737481995556","-89.619081742829","-93.00573857573377","-597.2878970850877","-119.32730476848802","-258.6166841552004","-61.16791242163207"
"[max]","0","0","0","0","0","29.512127680571396","41.338362640233655","46.642213689084954","50.41806823604927","37.37016013882436","106.00670339459505","92.04962304299045","86.81851298952738","113.25553805660685","75.36510878893046","123.82367073946729","148.9176818968615","135.15700657394416","156.18377899095668","139.2818413866922","186.75266991087614","223.51358495863957","202.8644982762193","157.51122390803548","189.90745230588902","257.3313590999252","118.2271465901457","171.578182380184","186.95779797005997","226.71524357899148","272.43913057977653","194.0724536042707","166.5170124333148","257.9233391376981","251.51875233268595","290.7628191117892","261.77452917874774","263.02606347612567","244.30311816652758","130.11288841298767","308.5552336740574","279.7495753640488","307.2668373492157","336.96228384883733","273.89318896412715","310.54724917496713","302.89534153980605","360.9021114712979","352.95974454339614","301.82356028154186","347.05978782400996","363.46913235976615","226.87538950677256","424.46849172277143","376.181345975074","259.30679365332327","396.9087110603769","400.2186950605433","333.0240086306134","220.73014535749687","334.0649208168672","362.89020745300377","391.01133342978585","359.4662564502706","312.81849660324696","405.83775370615405","413.4498827106368","379.2318721341222","370.19647860057586","444.0614942632668","395.44976966948934","404.5823093178998","391.19349352783007","418.6613038930526","422.5909890238426","352.9025359435356","415.01594744381066","308.4992280612766","353.0084895804303","346.93890872399953","482.07619226154145","303.2803009818276","414.14770676305164","350.19862885838876","338.7842842772181","453.46776077581336","232.9204930455198","338.76888894980533","459.8019937872624","420.4683986899927","472.71719792567563","367.75144336866344","433.91352605863716","369.38897702689263","367.9796391840889","265.4732144045768","421.8934750218061","420.3445824610988","263.36985784555395","485.29506955421874","497.71621510314077","398.7519484326255","395.50818110428656","330.3835280190922","531.8324110881571","463.87836922373015","446.20650737666716","356.9064331914284","391.78847050184754","328.368190541725","274.9536650561446","246.68740072892354","278.7379982473279","456.02887649821724","328.1589083742022","371.052172154349","360.98257588879085","268.56287390176755","355.26874693925595","368.9831868652034","400.5884431954501","404.31941575097545","418.2600091542227","435.10472110542185","337.9049062961105","423.44590530165397","425.46141910590643","387.17147775817176","443.8196112384713","280.4230660708982","404.9927438210358","456.7242657317131","448.0703687065685","376.8047692810313","400.3083440860501","334.48223397643955","503.6736554106561","496.1605347521766","342.0882038805317","463.9795703049589","323.0240741750529","327.6023154248629","404.862730374126","357.5926657389397","281.41575198701287","340.91309161832055","325.6279846903362","462.80649523223445","224.7300428060913","414.0452763581461","354.49255217094674","355.54908359362395","322.4437424770226","412.1910158921412","347.267642672882","366.9812000020533","307.2608336440006","422.1998535035845","386.6146987708389","303.43199747238646","416.8153492252959","302.1346257282999","330.3834396907651","275.522828967439","405.23263060200117","258.89612621223586","285.23584817846614","476.22009273213985","425.32830086599733","310.61508024092274","381.6556921025534","402.9742402512046","343.3340482904281","253.81695098083122","324.63307510670495","301.7322192368247","325.3202152562713","334.7079641745962","347.86217683941123","351.0834508408738","331.46102504951773","316.89759402733205","404.09540908585785","327.86106669966676","326.63882463506866","367.06179078715536","343.1628114259612","357.0035674791412","323.7919276799772","281.3210566274955","350.7612470994597","393.1333120216627","354.15627845689147","276.766529096251","333.5486490530462","365.9364763316812","381.31475080230337","362.35372958097093","360.3479504427046","326.17430015093566","365.47810299460696","293.9307136046572","347.9573877790151","363.84448749489854","296.2299704416736","366.6274836062288","262.94754065128956","350.8228675634165","328.84344540033885","376.68688432027335","268.11611959846334","344.19032190536444","321.6039187954976","390.9386224494859","294.0783905890626","309.0129639725803","282.7730370601054","311.1906592124509","339.4770535817346","302.78356342107713","323.47055209184396","290.6028135006072","313.08023409534877","264.74613284897583","253.21763288870903","319.88039861201594","326.4240388717722","347.3218053931369","327.5701956679083","312.24084880171296","378.6098064177648","298.43208739321705","345.3288645610942","348.2083089559858","262.05276647164817","325.85126592679063","289.0736870575118","373.9880742890906"
"[mean]","-0.07560327934413257","-1.5499276144770684","-0.9335004998999717","0","-1.3900555888821535","15.883470064207215","18.85029768959663","21.322456924861925","25.11761487202155","19.418229522351105","52.32141860356997","44.50065981668346","43.59307595276862","52.64438341276303","38.42365581549902","60.31363799905262","76.39691858434007","70.7327635553678","76.60864712669867","73.09807464939009","93.1486567030398","111.89638778652066","99.25536107151581","80.94967094585093","95.43851817462802","131.71737928719043","73.63627568771197","96.02602839939557","100.28177796438021","115.10715617860384","138.804178478011","106.08510762195671","87.80581547682327","124.2630145508654","135.61328354798846","159.79281545973953","142.1225001849397","145.84274824580348","138.73403894239934","86.67626933708691","155.04305762458142","151.2260891697897","159.48826819364024","173.72105526499473","158.11843046298702","171.28362439163638","162.54149254020896","194.45071672444232","189.72620451311863","160.64797003793427","182.2993974229808","206.4551680414668","131.23183770133875","221.65465285752512","209.15406290796406","163.15007086073902","214.11692127471733","218.29629054144823","189.62835639692264","148.86234627693915","210.00227478854282","212.26980761062293","215.81832566079717","198.84356164061208","191.23164114444216","225.439413002308","233.16028364413006","231.4341164164007","210.9634148055407","243.76969819864212","229.05508652143428","234.83215864279984","218.4312466126976","229.00086508064697","238.8280068192885","237.78706480073956","266.6649893898778","205.56897517700483","179.02517321274595","215.24857936894367","269.2455286033856","202.3928118173238","237.02950421778226","221.34378185314606","229.87078692099635","281.9655120802373","176.4483952881304","212.72895000560206","282.6086855548765","251.34270214931738","271.49759075113644","224.65823713220885","259.6776037645781","244.19531172388608","221.70947402573108","199.3604815199718","260.68831310362987","260.49321829390743","192.02706715876283","284.8566393355241","313.5673158104814","267.12291220724575","262.98781635707127","229.12213334650636","319.2876793391246","290.539236480738","269.49266406071064","254.56566316538067","259.90842107282856","222.79384529341937","189.22561105245575","182.6252265902871","216.39462587687743","305.18782703186287","242.69168540639112","261.42902754590955","259.24697972423286","213.4143160624219","250.3827575901559","238.53257355887843","290.78842484381187","250.708944815859","282.7005583299564","292.99940294368844","260.2683329063865","304.9006254861088","277.0209384836741","279.1892995222129","300.42515253860154","228.10817128538508","285.29640777606056","294.83405021107234","321.0889491435397","296.805237525422","284.60695813122555","271.32808432547097","341.11668777214106","326.36105374054057","267.3808768098834","327.90862082647396","256.19275887597126","264.3191771467411","278.2399639029524","253.32435162058007","218.42764399978162","268.8747075281367","253.26202789741666","321.47617265602224","184.4432682682767","309.0321750219687","281.352777326039","289.29839495209006","257.51552720395586","301.6326719086024","285.53256363856127","280.5501415189671","245.49394950322875","321.0056344247575","299.7090034127427","235.8992705888903","332.4683914846232","231.3087357516449","260.21532934699553","191.1056241546915","304.3993005758001","197.4951776414953","192.3333374667738","350.83121538251027","320.2419017905495","256.68736856804264","305.70012122160915","328.7484141510718","269.85659165645234","177.85974640094744","236.182707434571","231.42028840055326","227.05737384474023","279.4625444174562","273.2918640593461","248.33747755737048","233.031441508976","263.2605220188116","330.90385524953643","252.5460532895097","265.23097968917114","298.81582426735423","281.7004744997293","284.9165776159505","218.48946168449487","176.35956333303992","288.3610984355467","308.8277939548076","228.18077968002072","196.65633125524744","260.2606543980739","289.44536114623605","254.0959540795727","290.99621503007086","285.65458765673225","238.5802255595981","273.0224020561365","185.2164734692284","263.440371595409","251.41585537265263","170.91465223386504","302.8528521569224","149.6458555927909","263.4095849183568","216.5069106057611","302.3049858121595","95.31056514119325","206.99862328732382","221.62114707541502","284.801042716709","217.8815520265455","184.98440112473236","152.93245182176068","158.51308908741282","250.82829496955495","56.778127295750394","130.14548396919295","156.36896205869243","156.93491547724966","78.72206303663786","104.0382742504861","150.65483662978383","132.9652901259833","164.17362691086782","175.50676250603232","150.82710978720027","253.00377992705688","109.2102430394286","192.85174373290798","172.7200473900838","-27.85126189547078","165.52453647831524","94.55157999734669","205.97385532784946"
