"export-plot data (NetLogo 6.3.0)"
"project.nlogo"
"05/22/2023 15:37:52:533 +0200"

"MODEL SETTINGS"
"lower-tax","percent-best-land","charity","upper-tax","num-people"
"6","15","2","8","250"

"""Class Plot"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","28300","0","250","true","""low""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""low""","true","0","1","15","24003"
"""up""","true","0","1","105","24003"
"""both""","true","0","1","0","24003"

"""low""",,,,"""up""",,,,"""both"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","250","105","true","0","250","0","true"
"1","0","15","true","1","250","105","true","1","250","0","true"
"2","0","15","true","2","250","105","true","2","250","0","true"
"3","5","15","true","3","245","105","true","3","250","0","true"
"4","40","15","true","4","210","105","true","4","250","0","true"
"5","80","15","true","5","170","105","true","5","250","0","true"
"6","102","15","true","6","148","105","true","6","250","0","true"
"7","119","15","true","7","131","105","true","7","250","0","true"
"8","147","15","true","8","103","105","true","8","250","0","true"
"9","152","15","true","9","98","105","true","9","250","0","true"
"10","170","15","true","10","80","105","true","10","250","0","true"
"11","181","15","true","11","69","105","true","11","250","0","true"
"12","189","15","true","12","61","105","true","12","250","0","true"
"13","201","15","true","13","49","105","true","13","250","0","true"
"14","208","15","true","14","42","105","true","14","250","0","true"
"15","213","15","true","15","37","105","true","15","250","0","true"
"16","219","15","true","16","31","105","true","16","250","0","true"
"17","215","15","true","17","35","105","true","17","250","0","true"
"18","206","15","true","18","44","105","true","18","250","0","true"
"19","203","15","true","19","47","105","true","19","250","0","true"
"20","199","15","true","20","51","105","true","20","250","0","true"
"21","201","15","true","21","49","105","true","21","250","0","true"
"22","196","15","true","22","54","105","true","22","250","0","true"
"23","201","15","true","23","49","105","true","23","250","0","true"
"24","204","15","true","24","46","105","true","24","250","0","true"
"25","206","15","true","25","44","105","true","25","250","0","true"
"26","203","15","true","26","47","105","true","26","250","0","true"
"27","200","15","true","27","50","105","true","27","250","0","true"
"28","200","15","true","28","50","105","true","28","250","0","true"
"29","196","15","true","29","54","105","true","29","250","0","true"
"30","194","15","true","30","56","105","true","30","250","0","true"
"31","191","15","true","31","59","105","true","31","250","0","true"
"32","187","15","true","32","63","105","true","32","250","0","true"
"33","185","15","true","33","65","105","true","33","250","0","true"
"34","184","15","true","34","66","105","true","34","250","0","true"
"35","191","15","true","35","59","105","true","35","250","0","true"
"36","189","15","true","36","61","105","true","36","250","0","true"
"37","195","15","true","37","55","105","true","37","250","0","true"
"38","194","15","true","38","56","105","true","38","250","0","true"
"39","199","15","true","39","51","105","true","39","250","0","true"
"40","199","15","true","40","51","105","true","40","250","0","true"
"41","199","15","true","41","51","105","true","41","250","0","true"
"42","205","15","true","42","45","105","true","42","250","0","true"
"43","214","15","true","43","36","105","true","43","250","0","true"
"44","220","15","true","44","30","105","true","44","250","0","true"
"45","219","15","true","45","31","105","true","45","250","0","true"
"46","218","15","true","46","32","105","true","46","250","0","true"
"47","218","15","true","47","32","105","true","47","250","0","true"
"48","216","15","true","48","34","105","true","48","250","0","true"
"49","215","15","true","49","35","105","true","49","250","0","true"
"50","214","15","true","50","36","105","true","50","250","0","true"
"51","214","15","true","51","36","105","true","51","250","0","true"
"52","213","15","true","52","37","105","true","52","250","0","true"
"53","211","15","true","53","39","105","true","53","250","0","true"
"54","213","15","true","54","37","105","true","54","250","0","true"
"55","212","15","true","55","38","105","true","55","250","0","true"
"56","212","15","true","56","38","105","true","56","250","0","true"
"57","212","15","true","57","38","105","true","57","250","0","true"
"58","209","15","true","58","41","105","true","58","250","0","true"
"59","210","15","true","59","40","105","true","59","250","0","true"
"60","210","15","true","60","40","105","true","60","250","0","true"
"61","210","15","true","61","40","105","true","61","250","0","true"
"62","206","15","true","62","44","105","true","62","250","0","true"
"63","210","15","true","63","40","105","true","63","250","0","true"
"64","209","15","true","64","41","105","true","64","250","0","true"
"65","207","15","true","65","43","105","true","65","250","0","true"
"66","207","15","true","66","43","105","true","66","250","0","true"
"67","206","15","true","67","44","105","true","67","250","0","true"
"68","205","15","true","68","45","105","true","68","250","0","true"
"69","204","15","true","69","46","105","true","69","250","0","true"
"70","202","15","true","70","48","105","true","70","250","0","true"
"71","201","15","true","71","49","105","true","71","250","0","true"
"72","198","15","true","72","52","105","true","72","250","0","true"
"73","197","15","true","73","53","105","true","73","250","0","true"
"74","197","15","true","74","53","105","true","74","250","0","true"
"75","196","15","true","75","54","105","true","75","250","0","true"
"76","196","15","true","76","54","105","true","76","250","0","true"
"77","196","15","true","77","54","105","true","77","250","0","true"
"78","195","15","true","78","55","105","true","78","250","0","true"
"79","195","15","true","79","55","105","true","79","250","0","true"
"80","203","15","true","80","47","105","true","80","250","0","true"
"81","207","15","true","81","43","105","true","81","250","0","true"
"82","206","15","true","82","44","105","true","82","250","0","true"
"83","206","15","true","83","44","105","true","83","250","0","true"
"84","203","15","true","84","47","105","true","84","250","0","true"
"85","202","15","true","85","48","105","true","85","250","0","true"
"86","201","15","true","86","49","105","true","86","250","0","true"
"87","201","15","true","87","49","105","true","87","250","0","true"
"88","203","15","true","88","47","105","true","88","250","0","true"
"89","210","15","true","89","40","105","true","89","250","0","true"
