"export-plot data (NetLogo 6.3.0)"
"project.nlogo"
"05/22/2023 15:37:42:426 +0200"

"MODEL SETTINGS"
"lower-tax","percent-best-land","charity","upper-tax","num-people"
"6","15","2","8","250"

"""Relative state treasure"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","25600","0","759","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","64","24003"

"""default"""
"x","y","color","pen down?"
"0","0","64","true"
"1","1.8","64","true"
"2","2.73","64","true"
"3","3.54","64","true"
"4","4.11","64","true"
"5","4.63","64","true"
"6","5.21","64","true"
"7","5.73","64","true"
"8","6.18","64","true"
"9","6.55","64","true"
"10","7.01","64","true"
"11","7.44","64","true"
"12","7.75","64","true"
"13","8.03","64","true"
"14","8.34","64","true"
"15","8.58","64","true"
"16","8.86","64","true"
"17","9.13","64","true"
"18","9.38","64","true"
"19","9.64","64","true"
"20","9.85","64","true"
"21","10.1","64","true"
"22","10.42","64","true"
"23","10.68","64","true"
"24","10.9","64","true"
"25","11.16","64","true"
"26","11.39","64","true"
"27","11.59","64","true"
"28","11.79","64","true"
"29","11.97","64","true"
"30","12.18","64","true"
"31","12.36","64","true"
"32","12.55","64","true"
"33","12.79","64","true"
"34","13.01","64","true"
"35","13.27","64","true"
"36","13.45","64","true"
"37","13.62","64","true"
"38","13.78","64","true"
"39","13.95","64","true"
"40","14.12","64","true"
"41","14.27","64","true"
"42","14.43","64","true"
"43","14.58","64","true"
"44","14.73","64","true"
"45","14.88","64","true"
"46","15.05","64","true"
"47","15.17","64","true"
"48","15.29","64","true"
"49","15.47","64","true"
"50","15.66","64","true"
"51","15.82","64","true"
"52","16.01","64","true"
"53","16.15","64","true"
"54","16.28","64","true"
"55","16.45","64","true"
"56","16.59","64","true"
"57","16.7","64","true"
"58","16.8","64","true"
"59","16.9","64","true"
"60","17.05","64","true"
"61","17.17","64","true"
"62","17.31","64","true"
"63","17.43","64","true"
"64","17.57","64","true"
"65","17.71","64","true"
"66","17.86","64","true"
"67","17.99","64","true"
"68","18.12","64","true"
"69","18.24","64","true"
"70","18.32","64","true"
"71","18.43","64","true"
"72","18.53","64","true"
"73","18.68","64","true"
"74","18.8","64","true"
"75","18.91","64","true"
"76","19.04","64","true"
"77","19.15","64","true"
"78","19.27","64","true"
"79","19.4","64","true"
"80","19.52","64","true"
"81","19.65","64","true"
"82","19.75","64","true"
"83","19.87","64","true"
"84","19.98","64","true"
"85","20.12","64","true"
"86","20.21","64","true"
"87","20.31","64","true"
"88","20.42","64","true"
"89","20.52","64","true"
"90","20.62","64","true"
"91","20.72","64","true"
"92","20.81","64","true"
"93","20.91","64","true"
"94","21.01","64","true"
"95","21.13","64","true"
"96","21.27","64","true"
"97","21.37","64","true"
"98","21.47","64","true"
"99","21.58","64","true"
"100","21.71","64","true"
"101","21.8","64","true"
"102","21.92","64","true"
"103","22.01","64","true"
"104","22.1","64","true"
"105","22.2","64","true"
"106","22.29","64","true"
"107","22.37","64","true"
"108","22.46","64","true"
"109","22.54","64","true"
"110","22.62","64","true"
"111","22.71","64","true"
"112","22.77","64","true"
"113","22.84","64","true"
"114","22.92","64","true"
"115","23","64","true"
"116","23.06","64","true"
"117","23.15","64","true"
"118","23.24","64","true"
"119","23.32","64","true"
"120","23.39","64","true"
"121","23.47","64","true"
"122","23.57","64","true"
"123","23.64","64","true"
"124","23.74","64","true"
"125","23.83","64","true"
"126","23.91","64","true"
"127","23.99","64","true"
"128","24.08","64","true"
"129","24.16","64","true"
"130","24.25","64","true"
"131","24.34","64","true"
"132","24.41","64","true"
"133","24.48","64","true"
"134","24.55","64","true"
"135","24.62","64","true"
"136","24.69","64","true"
"137","24.78","64","true"
"138","24.89","64","true"
"139","24.98","64","true"
"140","25.09","64","true"
"141","25.16","64","true"
"142","25.23","64","true"
"143","25.34","64","true"
"144","25.42","64","true"
"145","25.5","64","true"
"146","25.59","64","true"
"147","25.66","64","true"
"148","25.73","64","true"
"149","25.8","64","true"
"150","25.9","64","true"
"151","25.96","64","true"
"152","26.03","64","true"
"153","26.09","64","true"
"154","26.17","64","true"
"155","26.27","64","true"
"156","26.35","64","true"
"157","26.45","64","true"
"158","26.54","64","true"
"159","26.62","64","true"
"160","26.7","64","true"
"161","26.8","64","true"
"162","26.87","64","true"
"163","26.97","64","true"
"164","27.05","64","true"
"165","27.13","64","true"
"166","27.19","64","true"
"167","27.27","64","true"
"168","27.34","64","true"
"169","27.43","64","true"
"170","27.49","64","true"
"171","27.56","64","true"
"172","27.63","64","true"
"173","27.7","64","true"
"174","27.77","64","true"
"175","27.83","64","true"
"176","27.89","64","true"
"177","27.96","64","true"
"178","28.03","64","true"
"179","28.11","64","true"
"180","28.18","64","true"
"181","28.28","64","true"
"182","28.36","64","true"
"183","28.44","64","true"
"184","28.51","64","true"
"185","28.58","64","true"
"186","28.66","64","true"
"187","28.75","64","true"
"188","28.81","64","true"
"189","28.86","64","true"
"190","28.92","64","true"
"191","28.98","64","true"
"192","29.05","64","true"
"193","29.13","64","true"
"194","29.2","64","true"
"195","29.27","64","true"
"196","29.35","64","true"
"197","29.42","64","true"
"198","29.48","64","true"
"199","29.55","64","true"
"200","29.62","64","true"
"201","29.71","64","true"
"202","29.77","64","true"
"203","29.84","64","true"
"204","29.92","64","true"
"205","30.03","64","true"
"206","30.1","64","true"
"207","30.18","64","true"
"208","30.24","64","true"
"209","30.33","64","true"
"210","30.38","64","true"
"211","30.44","64","true"
"212","30.52","64","true"
"213","30.61","64","true"
"214","30.69","64","true"
"215","30.75","64","true"
"216","30.83","64","true"
"217","30.92","64","true"
"218","31.02","64","true"
"219","31.1","64","true"
"220","31.17","64","true"
"221","31.25","64","true"
"222","31.32","64","true"
"223","31.4","64","true"
"224","31.48","64","true"
"225","31.54","64","true"
"226","31.62","64","true"
"227","31.69","64","true"
